Kanji	Significado	Leitura(s) ON	Leitura(s) KUN	Mnemônica	Nível JLPT
承	Consentimento, receber	ショウ	うけたまわ・る	Mãos (手) que se unem ao auxílio (丞) para receber o consentimento.	N2
雲	Nuvem	ウン	くも	A chuva (雨) que se forma a partir das nuvens (云).	N2
練	Prática, treino	レン	ね・る	Selecionar (柬) os fios (糸) corretos para o treino ou prática.	N2
紹	Apresentar	ショウ	Não possui	Usar um fio (糸) de conexão para convocar (召) e apresentar alguém.	N2
包	Embrulhar, pacote	ホウ	つつ・む	O ato de envolver (勹) a si mesmo (己) ou um pacote.	N2
庁	Repartição pública	チョウ, テイ	Não possui	Um abrigo ou prédio (广) na seção (丁) da cidade para uma repartição pública.	N2
測	Medir	ソク	はか・る	A água (氵) que segue uma regra (則) de nível para se medir a profundidade.	N2
占	Ocupar, prever o futuro	セン	し・める, うらな・う	Usar a boca (口) para dar um sinal (卜) ao ocupar um espaço.	N2
混	Misturar, confusão	コン	ま・じる, ま・ざる, ま・ぜる, こ・む	A água (氵) onde diversos descendentes (昆) se misturam.	N2
倍	Dobro, vezes	バイ, ハイ	Não possui	Uma pessoa (亻) que se coloca contra algo (咅) para o dobrar ou multiplicar.	N2
乳	Leite, seio	ニュウ	ちち, ち	Uma garra ou mão (爫) que cuida de uma criança (子) para dar o leite.	N2
荒	Selvagem, áspero	コウ	あら・い, あ・れる, あ・らす	Grama (艹) e rios (川) onde a vida se perdeu (亡), tornando o local selvagem.	N2
詰	Embalar, encher	キツ	つ・める, つ・まる, つ・む	Palavras (言) de boa sorte (吉) usadas ao embalar ou preencher algo.	N2
栄	Prosperar, glória	エイ	さか・える, は・え, は・える	O brilho (⺍) sobre uma árvore (木) sob um telhado (冖) ao prosperar.	N2
床	Cama, chão	ショウ	とこ, ゆか	Madeira (木) sob um telhado (广) usada como cama ou chão.	N2
則	Regra, lei	ソク	Não possui	Usar uma faca (刂) para dividir o dinheiro ou conchas (貝) conforme a regra.	N2
禁	Proibição	キン	Não possui	Um bosque (林) marcado com um altar (示) para indicar uma proibição.	N2
順	Ordem, obedecer	ジュン	Não possui	Um rio (川) que flui por uma página (頁) seguindo uma ordem correta.	N2
枚	Objeto plano (contador)	マイ, バイ	Não possui	Tomar uma ação (攵) com a madeira (木) para contar objetos planos.	N2
厚	Grosso, gentil	コウ	あつ・い	Um filho (子) sob o sol (日) e um penhasco (厂) que se torna grosso ou gentil.	N2
皮	Pele, couro	ヒ	かわ	Representação de uma mão esticando o couro ou a pele animal.	N2
輸	Transportar	ユ, シュ	Não possui	Um carro (車) sob um abrigo (亼) usado para transportar bens na lua (月) certa.	N2
濃	Concentrado, escuro	ノウ	こ・い	A água (氵) usada na agricultura (農) que se torna concentrada ou escura.	N2
簡	Simples, breve	カン	Não possui	Pedaços de bambu (竹) com intervalos (間) usados para uma mensagem simples.	N2
孫	Neto	ソン	まご	Uma criança (子) que pertence à linhagem ou sistema (系) da família: o neto.	N2
丈	Medida, forte	ジョウ	たけ	Uma ferramenta segurada por uma (一) mão cruzada (乂) para tirar uma medida.	N2
黄	Amarelo	コウ, オウ	き, こ	Grama (艹) em um campo (田) que se espalha (八) e fica amarela.	N2
届	Entregar, alcançar	カイ	とど・ける, とど・く	Um corpo (尸) que segue uma rota ou razão (由) para entregar algo.	N2
絡	Emaranhar, conectar	ラク	から・む, から・まる, から・める	Fios (糸) que vão para cada (各) lugar e acabam se emaranhando.	N2
採	Pegar, coletar	サイ	と・る	Usar a mão (扌) e as garras (爫) para pegar algo de uma árvore (木).	N2
傾	Inclinar	ケイ	かたむ・く, かたむ・ける	Uma pessoa (亻) que se volta para um momento ou tempo (頃) ao se inclinar.	N2
鼻	Nariz	ビ	はな	De si mesmo (自), o campo (田) e as mãos (廾) que sustentam o nariz.	N2
宝	Tesouro	ホウ	たから	Uma joia (玉) guardada e protegida sob um telhado (宀): um tesouro.	N2
患	Doença, aflição	カン	わずら・う	Uma série de espetos (串) que atingem o coração (心) em uma doença ou aflição.	N2
延	Prolongar, adiar	エン	の・びる, の・べる, の・ばす	Caminhar (廴) de forma correta (正) para prolongar ou estender o caminho.	N2
律	Lei, ritmo	リツ, リチ	Não possui	Caminhar (彳) enquanto se usa o pincel (聿) para registrar a lei.	N2
希	Esperança, raro	キ, ケ	Não possui	Marcas cruzadas (乂) sobre um pano (布) representando uma esperança rara.	N2
甘	Doce	カン	あま・い, あま・える, あま・やかす	Algo mantido (廿) com uma (一) boca que tem um sabor doce.	N2
湾	Baía, golfo	ワン	Não possui	Água (氵) que faz uma curva estranha (亦) como um arco (弓) em uma baía.	N2
沈	Afundar	チン, ジン	しず・む, しず・める	A água (氵) onde algo se move devagar (冘) até afundar.	N2
販	Vender, comercializar	ハン	Não possui	Usar o dinheiro (貝) em troca de mercadorias no lado oposto (反) para vender.	N2
欧	Europa	オウ	Não possui	Um distrito (区) que sente falta (欠) de algo, representando a Europa.	N2
砂	Areia	サ, シャ	すな	Pedras (石) que foram reduzidas a pouco (少), tornando-se areia.	N2
尊	Honra, reverência	ソン	たっと・い, とうと・い, たっと・ぶ, とうと・ぶ	Segurar um jarro de vinho (酉) com respeito (丷) e medida (寸) para honrar.	N2
紅	Carmesim, vermelho	コウ, ク, グ	べに, くれない	O trabalho (工) de tingir fios (糸) com a cor carmesim.	N2
複	Duplicar, composto	フク	Não possui	Repetir (复) a camada de roupa (衤) para duplicar algo.	N2
泊	Pernoitar	ハク	と・まる, と・める	O sol branco (白) que se põe na água (氵) indicando a hora de pernoitar.	N2
荷	Carga, bagagem	カ	に	O que (何) se carrega sob a grama (艹) ou fardos como carga.	N2
枝	Galho, ramo	シ	えだ	O galho que serve como o suporte (支) da árvore (木).	N2
依	Depender de	イ, エ	Não possui	Uma pessoa (亻) que depende da sua roupa (衣) para se proteger.	N2
幼	Infância	ヨウ	おさな・い	Alguém com força (力) muito pequena (幺) por estar na infância.	N2
斬	Decapitação, cortar com espada	ザン	き・る	Usar um machado (斤) perto de um carro (車) para cortar ou decapitar.	N2
勇	Coragem, bravo	ユウ	いさ・む	Um homem (男) que usa sua ferramenta (マ) com coragem.	N2
昇	Subir, ascender	ショウ	のぼ・る	O sol (日) que sobe uma medida (升) a cada momento.	N2
寿	Longevidade, parabéns	ジュ	ことぶき	Uma vida longa medida (寸) por muitas colheitas (丰).	N2
菜	Vegetal, verdura	サイ	な	A grama (艹) que se colhe (采) para comer como vegetal.	N2
季	Estação do ano	キ	Não possui	Os grãos (禾) que nascem como crianças (子) a cada estação.	N2
液	Líquido	エキ	Não possui	A água (氵) que se torna fria ou condensa durante a noite (夜).	N2
券	Bilhete, cupom	ケン	Não possui	Usar uma faca (刀) para cortar um bilhete (龹) de entrada.	N2
祭	Festival, culto	サイ	まつ・る, まつ・り	Uma mão (又) que coloca carne (月) no altar (示) para um festival.	N2
袋	Saco, bolsa	タイ	ふくろ	Uma roupa (衣) que serve como substituto (代) de um recipiente: o saco.	N2
燃	Queimar	ネン, ゼン	も・える, も・やす, も・す	O fogo (火) que queima de forma natural (然).	N2
毒	Veneno	ドク	Não possui	O que nasce (龶) e que não (毋) se deve tocar por ser veneno.	N2
札	Etiqueta, nota (dinheiro)	サツ	ふだ	Uma placa de madeira (木) com um gancho (乚) usada como etiqueta.	N2
狙	Mirar, focar	ソ, ショ	ねら・う	Um animal (犭) que ainda (且) está na mira do caçador.	N2
脇	Axila, lado	キョウ	わき	A parte do corpo (月) onde se concentra a força (力) sob o braço.	N2
卒	Graduação, formar-se	ソツ, シュツ	Não possui	Dez (十) pessoas que atingiram o topo (亠) ao se graduar.	N2
副	Secundário, vice-	フク	Não possui	Usar a faca (刂) para dividir o conteúdo de um jarro cheio (畐) em partes secundárias.	N2
敬	Respeito, reverenciar	ケイ, キョウ	うやま・う	A ação (攵) de cuidar (苟) das palavras com respeito.	N2
針	Agulha	シン	はり	Um metal (金) fino como o número dez (十) usado como agulha.	N2
拝	Adoração, reverenciar	ハイ	おが・む	Mãos (扌) que se unem diante da abundância (丰) em adoração.	N2
浴	Tomar banho, banhar-se	ヨク	あ・びる, あ・びせる	A água (氵) que flui no vale (谷) onde se pode tomar banho.	N2
悩	Preocupação, sofrer	ノウ, ドウ	なや・む, なや・ます	O coração (忄) que sente uma má sorte (凶) fluindo como um rio (巛).	N2
汚	Sujo, contaminar	オ	けが・す, けが・れる, けが・らわしい, よご・す, よご・れる, きたな・い	Água (氵) que ficou parada em um espaço (于) e ficou suja.	N2
灯	Lâmpada, luz	トウ	ひ	O fogo (火) colocado em uma seção (丁) da rua para iluminar.	N2
坊	Garoto, monge	ボウ, ボッ	Não possui	Um garoto que corre sobre a terra (土) em todas as direções (方).	N2
尻	Traseiro, nádegas	コウ	しり	A parte do corpo (尸) que faz uma curva como o número nove (九).	N2
涙	Lágrimas	ルイ	なみだ	Água (氵) que sai do olho quando algo vai contra (戾) o coração.	N2
停	Parar, suspender	テイ	Não possui	Uma pessoa (亻) que para em um pavilhão (亭) para descansar.	N2
了	Completo, entender	リョウ	Não possui	Representação de uma criança enrolada para indicar o fim ou algo completo.	N2
汗	Suor	カン, ガン	あせ	Água (氵) que sai do corpo para o manter seco (干) do calor.	N2
郵	Correio, correspondência	ユウ	Não possui	Onde as mensagens são penduradas (垂) no muro (阝) da cidade.	N2
幅	Largura, alcance	フク	はば	A largura medida por um pano (巾) que envolve um jarro cheio (畐).	N2
童	Criança	ドウ, トウ	わらべ	Alguém que fica de pé (立) na vila (里) sendo ainda uma criança.	N2
虫	Inseto	チュウ	むし	Desenho de uma cobra pequena ou verme representando um inseto.	N2
埋	Enterrar, preencher	マイ	う・める, う・まる, う・もれる	Colocar na terra (土) da vila (里) para enterrar.	N2
舟	Barco pequeno	シュウ	ふね, ふな	Desenho estilizado de um pequeno barco.	N2
闇	Escuridão, trevas	アン	やみ	Dentro do portão (門) onde só se ouve o som (音) no escuro.	N2
棒	Bastão, pau	ボウ, ホウ	Não possui	Um pedaço de madeira (木) que se oferece (奉) como bastão.	N2
貨	Carga, mercadoria	カ	Não possui	O dinheiro (貝) que muda (化) de mãos em troca de mercadoria.	N2
肌	Pele	キ	はだ	A parte do corpo (月) que cobre a superfície como um tecido sobre um suporte (几): a pele.	N2
臓	Órgão interno	ゾウ, ソウ	Não possui	Partes do corpo (月) que guardam e processam funções vitais: os órgãos internos.	N2
塩	Sal	エン	しお	Mineral da terra (土) extraído e monitorado em grandes vasos: o sal.	N2
均	Igual, equilibrado	キン	Não possui	Distribuir a terra (土) de forma equilibrada para que tudo fique igual.	N2
湖	Lago	コ	みずうみ	Grande massa de água (氵) cercada por terras antigas (胡): um lago.	N2
損	Perda, dano	ソン	そこ・なう, そこ・ねる	Uma mão (扌) que retira um membro (員) ou recurso, causando uma perda.	N2
膝	Joelho	シツ	ひざ	Articulação do corpo (月) que se dobra como os ramos de uma árvore: o joelho.	N2
辛	Picante, difícil	シン	から・い	Permanecer de pé (立) sob a pressão de dez (十) pesos: algo difícil.	N2
双	Par, duplo	ソウ	ふた	Duas mãos (又, 又) unidas para formar um par ou duplo.	N2
軒	Beiral, contador de casas	ケン	のき	Local onde o carro (車) fica protegido e seco (干) sob o beiral.	N2
績	Conquista, desempenho	セキ	Não possui	Unir os fios (糸) de suas responsabilidades (責) para obter uma conquista.	N2
干	Secar, interferir	カン	ほ・す, ひ・る	Representação de um suporte para colocar objetos ao sol e os secar.	N2
姓	Sobrenome	セイ, ショウ	Não possui	O nome que se recebe da mulher (女) ao nascer (生) em um clã: o sobrenome.	N2
掘	Cavar, escavar	クツ	ほ・る	Usar a mão (扌) para fazer a terra ceder (屈) ao cavar.	N2
籍	Registro	セキ, ジャク	Não possui	Tábuas de bambu (竹) usadas desde os tempos antigos (昔) para o registro da agricultura.	N2
珍	Raro, incomum	チン	めずら・しい	Uma joia (王) com ornamentos (㐱) delicados: algo raro e incomum.	N2
訓	Instrução, ensinamento	クン, キン	Não possui	Palavras (言) que fluem como um rio (川) para dar uma instrução.	N2
預	Depositar, confiar a	ヨ	あず・ける, あず・かる	Entregar algo previamente (予) registrado em uma página (頁) para depositar.	N2
署	Esquadra, assinatura	ショ	Não possui	Onde as pessoas (者) usam a rede (罒) da lei para formar uma esquadra.	N2
漁	Pesca	ギョ, リョウ	Não possui	A ação de buscar o peixe (魚) na água (氵): a pesca.	N2
緑	Verde	リョク, ロク	みどり	Fios (糸) da cor das plantas que brotam da madeira: a cor verde.	N2
畳	Tatame, dobrar	ジョウ	たた・む, たたみ	Peças como campos (田) sob uma cobertura (冖) empilhadas (且) para formar o tatame.	N2
咲	Desabrochar	ショウ	さ・く	Uma boca (口) que se abre como alguém que ri (夭) ao desabrochar.	N2
貿	Comércio exterior	ボウ	Não possui	Abrir os portões (卯) para o dinheiro (貝) entrar no comércio exterior.	N2
踊	Dançar	ヨウ	おど・る, おど・り	Mover o pé (足) em círculos ou percorrer (甬) o espaço ao dançar.	N2
封	Selo, encerrar	フウ, ホウ	Não possui	Colocar uma joia (圭) de certa medida (寸) para criar um selo.	N2
兆	Sinal, trilhão	チョウ	きざ・す, きざ・し	Rachaduras no gelo (冫) vistas por pernas (儿) que caminham como um sinal.	N2
柱	Pilar	チュウ	はしら	A árvore (木) que é o mestre (主) da estrutura: o pilar.	N2
駐	Estacionamento, residir em	チュウ	Não possui	Onde o cavalo (馬) do mestre (主) para: um estacionamento.	N2
祝	Comemorar, parabenizar	シュク, シュウ	いわ・う	O irmão mais velho (兄) diante do altar (礻) para comemorar ou rezar.	N2
炭	Carvão	タン	すみ	O que sobra da montanha (山) reduzido a cinzas (灰): o carvão.	N2
柔	Suave, macio	ジュウ, ニュウ	やわ・らか, やわ・らかい	Uma lança (矛) com cabo de madeira (木) flexível: algo suave.	N2
雇	Empregar	コ	やと・う	Um pássaro (隹) que entra pela porta (戸) para ser cuidado ou empregar alguém.	N2
乾	Seco, secar	カン	かわ・く, かわ・かす	O sol (日) intenso que faz a terra implorar (乞) por água por estar seco.	N2
鋭	Afiado, excelente	エイ	するど・い	Um metal (金) que traz alegria ao ser trocado por eficiência por ser afiado.	N2
氷	Gelo	ヒョウ	こおり, ひ	Uma gota (丶) de água (水) que se solidificou em gelo.	N2
隅	Canto	グウ	すみ	Onde o muro (阝) faz um sinal (禺) de curva: o canto.	N2
冊	Livro, volume (contador)	サツ, サク	Não possui	Tiras de bambu unidas por uma linha (一) dentro de um limite (冂): um livro.	N2
糸	Fio, linha	シ	いと	Algo muito pequeno (幺, 小) e contínuo: um fio ou linha.	N2
募	Recrutar, arrecadar	ボ	つの・る	Usar a força (力) para buscar quem está no escuro (莫) e o recrutar.	N2
硬	Duro, rígido	コウ, ゴウ	かた・い	Uma pedra (石) que não se muda (更) ou quebra: algo duro.	N2
塗	Pintar, espalhar	ト	ぬ・る	Usar água (氵) com excesso (余) de terra (土) colorida para pintar.	N2
憎	Odiar, detestar	ゾウ	にく・む, にく・い, にく・らしい, にく・しみ	Um sentimento no coração (忄) que se acumulou anteriormente (曾) ao odiar.	N2
泥	Lama, ladrão	デイ	どろ	Água (氵) misturada à terra onde uma pessoa (尼) pisa: a lama.	N2
脂	Gordura	シ	あぶら	Parte do corpo (月) que serve ao propósito (旨) de armazenar energia: a gordura.	N2
粉	Pó, farinha	フン	こ, こな	O arroz (米) que foi dividido (分) em partes minúsculas: o pó.	N2
